Code,Taxa,Family,Country,Continent,D12,R,S,Db
2654C,Abarema jupunba,Leguminosae,Brazil,South-America,0.71,0.51,24,0.6
1203G,Abarema jupunba,Leguminosae,French Guiana,South-America,0.66,0.46,30,0.54
0801,Abies alba,Pinaceae,France,Europe,0.5,0.34,37,0.41
1760,Abies alba,Pinaceae,France,Europe,0.54,0.52,25,0.45
1950,Abies alba,Pinaceae,France,Europe,0.48,0.41,27,0.4
2007,Abies alba,Pinaceae,France,Europe,0.43,0.47,27,0.36
1528,Abrahamia ditimena,Anacardiaceae,Madagascar,Africa,0.77,0.4,28,0.64
1548,Abrahamia ditimena,Anacardiaceae,Madagascar,Africa,0.79,0.39,29,0.66
3005P,Acacia elata,Leguminosae,Burundi,Africa,0.61,0.47,33,0.49
3008P,Acacia elata,Leguminosae,Burundi,Africa,0.6,0.43,31,0.49
3021P,Acacia elata,Leguminosae,Burundi,Africa,0.64,0.46,30,0.52
0403,Acacia heterophylla,Leguminosae,Reunion,Indian ocean,0.6,0.42,28,0.5
3172P,Acacia mangium,Leguminosae,Malaysia,Asia,0.65,0.37,25,0.55
3183,Acacia shirleyi,Leguminosae,Australia,Australia,1.21,NA,NA,1
3183A,Acacia shirleyi,Leguminosae,Australia,Australia,1.14,NA,NA,0.94
3001P,Afrocarpus mannii,Podocarpaceae,Burundi,Africa,0.48,0.35,27,0.41
3002P,Afrocarpus mannii,Podocarpaceae,Burundi,Africa,0.43,0.34,26,0.37
3032P,Afrocarpus mannii,Podocarpaceae,Burundi,Africa,0.43,0.35,27,0.36
0974,Afzelia africana,Leguminosae,Central African Republic,Africa,0.85,0.42,20,0.73
0906,Afzelia africana,Leguminosae,Cote d'Ivoire,Africa,0.74,0.4,19,0.64
0955,Afzelia africana,Leguminosae,Cote d'Ivoire,Africa,0.79,0.34,20,0.69
1090,Afzelia africana,Leguminosae,Cote d'Ivoire,Africa,0.78,0.23,28,0.67
1203,Afzelia africana,Leguminosae,Cote d'Ivoire,Africa,0.79,0.39,19,0.69
0003,Afzelia africana,Leguminosae,Guinea,Africa,0.8,0.43,20,0.69
0934,Afzelia bella,Leguminosae,Cote d'Ivoire,Africa,0.7,0.36,18,0.61
0159,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.73,0.37,17,0.64
0413,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.79,0.38,17,0.69
0429,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.82,0.37,19,0.71
0648,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.85,0.31,21,0.74
0772,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.92,0.34,20,0.8
1105,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.84,0.61,NA,0.7
1106,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.83,0.39,19,0.72
1115,Afzelia bipindensis,Leguminosae,Cameroon,Africa,0.86,0.33,22,0.74
1096,Afzelia pachyloba,Leguminosae,Cameroon,Africa,0.72,0.4,21,0.62
1098,Afzelia pachyloba,Leguminosae,Cameroon,Africa,0.74,0.38,21,0.64
1104,Afzelia pachyloba,Leguminosae,Cameroon,Africa,0.79,0.59,NA,0.65
2134,Agathis dammara,Araucariaceae,Malaysia,Asia,0.52,0.34,27,0.44
0205,Agathis lanceolata,Araucariaceae,New Caledonia,Pacific ocean,0.59,0.5,31,0.48
0595,Agathis lanceolata,Araucariaceae,New Caledonia,Pacific ocean,0.58,0.3,NA,0.48
2818,Agathis lanceolata,Araucariaceae,New Caledonia,Pacific ocean,0.52,0.38,29,0.43
2225,Agathis macrophylla,Araucariaceae,Vanuatu,Pacific ocean,0.55,0.39,29,0.46
2203,Agathis moorei,Araucariaceae,New Caledonia,Pacific ocean,0.6,0.36,29,0.5
2373,Agathis moorei,Araucariaceae,New Caledonia,Pacific ocean,0.47,0.38,29,0.39
2381,Agathis moorei,Araucariaceae,New Caledonia,Pacific ocean,0.52,0.36,29,0.44
2623,Agathis moorei,Araucariaceae,New Caledonia,Pacific ocean,0.42,0.31,28,0.36
