"Species"	"Country"	"Code"	"D12"	"R"	"S"
"Abarema jupunba Britt. et Killip"	"Guyane francaise"	"1203G"	0.66	0.46	30
"Abarema jupunba Britt. et Killip"	"Brésil Amazonie"	"2654C"	0.71	0.51	24
"Abies alba Mill."	"France"	"0801"	0.50	0.34	37
"Abies alba Mill."	"France"	"1760"	0.54	0.52	25
"Abies alba Mill."	"France"	"1950"	0.48	0.41	27
"Abies alba Mill."	"France"	"2007"	0.43	0.47	27
"Acacia elata A.Cunn."	"Burundi"	"3005P"	0.61	0.47	33
"Acacia elata A.Cunn."	"Burundi"	"3008P"	0.60	0.43	31
"Acacia elata A.Cunn."	"Burundi"	"3021P"	0.64	0.46	30
"Acacia heterophylla Willd."	"Réunion"	"0403"	0.60	0.42	28
"Acacia mangium Willd."	"Sabah"	"3172P"	0.65	0.37	25
"Acacia shirleyi Maiden"	"Australie"	"3183"	1.21		
"Acacia shirleyi Maiden"	"Australie"	"3183A"	1.14		
"Afzelia africana Smith"	"Guinée"	"0003"	0.80	0.43	20
"Afzelia africana Smith"	"Côte d'Ivoire"	"0906"	0.74	0.40	19
"Afzelia africana Smith"	"Côte d'Ivoire"	"0955"	0.79	0.34	20
"Afzelia africana Smith"	"RCA"	"0974"	0.85	0.42	20
"Afzelia africana Smith"	"Côte d'Ivoire"	"1090"	0.78	0.23	28
"Afzelia africana Smith"	"Côte d'Ivoire"	"1203"	0.79	0.39	19
"Afzelia bella var.gracilior Keay"	"Côte d'Ivoire"	"0934"	0.70	0.36	18
"Afzelia bipindensis Harms"	"Cameroun"	"0159"	0.73	0.37	17
"Afzelia bipindensis Harms"	"Cameroun"	"0413"	0.79	0.38	17
"Afzelia bipindensis Harms"	"Cameroun"	"0429"	0.82	0.37	19
"Afzelia bipindensis Harms"	"Cameroun"	"0648"	0.85	0.31	21
"Afzelia bipindensis Harms"	"Cameroun"	"0772"	0.92	0.34	20
"Afzelia bipindensis Harms"	"Cameroun"	"1105"	0.84	0.61	
"Afzelia bipindensis Harms"	"Cameroun"	"1106"	0.83	0.39	19
"Afzelia bipindensis Harms"	"Cameroun"	"1115"	0.86	0.33	22
"Afzelia pachyloba Harms"	"Cameroun"	"1096"	0.72	0.40	21
"Afzelia pachyloba Harms"	"Cameroun"	"1098"	0.74	0.38	21
"Afzelia pachyloba Harms"	"Cameroun"	"1104"	0.79	0.59	
"Agathis dammara A.Rich."	"Malaisie n.p."	"2134"	0.52	0.34	27
"Agathis lanceolata Lindl."	"Nouvelle Calédonie"	"0205"	0.59	0.50	31
"Agathis lanceolata Lindl."	"Nouvelle Calédonie"	"0595"	0.58	0.30	
"Agathis lanceolata Lindl."	"Nouvelle Calédonie"	"2818"	0.52	0.38	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2203"	0.60	0.36	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2373"	0.47	0.38	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2381"	0.52	0.36	29
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2623"	0.42	0.31	28
"Agathis moorei Mast."	"Nouvelle Calédonie"	"2635"	0.51	0.35	28
"Agathis obtusa Mast."	"Vanuatu"	"2225"	0.55	0.39	29
"Albizia adianthifolia W.F.Wight"	"Côte d'Ivoire"	"0264"	0.55	0.32	31
"Albizia adianthifolia W.F.Wight"	"Cameroun"	"1119"	0.52	0.28	30
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"0453"	0.50	0.36	24
"Albizia ferruginea Benth."	"Rép. Congo"	"0461"	0.61	0.40	26
"Albizia ferruginea Benth."	"Rép. Congo"	"1093"	0.59	0.31	32
"Albizia ferruginea Benth."	"Rép. Congo"	"1101"	0.64	0.43	23
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"2129"	0.61	0.39	22
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"2229"	0.60	0.36	23
"Albizia ferruginea Benth."	"Côte d'Ivoire"	"2618"	0.64	0.40	21
"Albizia lebbeck Benth."	"Guadeloupe"	"0166"	0.65	0.27	27
"Albizia lebbeck Benth."	"Mali"	"0296"	0.65	0.41	24
"Albizia lebbeck Benth."	"Nouvelle Calédonie"	"0596"	0.66	0.20	40
"Albizia sassa Macbr."	"Cameroun"	"0406"	0.58	0.34	29
"Albizia sp"	"Cameroun"	"1118"	0.56	0.34	23
"Albizia sp"	"Cameroun"	"1123"	0.65	0.34	32
"Albizia zygia Macbr."	"Côte d'Ivoire"	"0877"	0.50	0.33	28
"Aldina heterophylla Benth."	"Brésil"	"2910"	0.94	0.58	23
"Aldina heterophylla Benth."	"Brésil"	"3058"	0.85	0.58	18
"Aldina heterophylla Benth."	"Brésil"	"0080V"	0.82	0.50	24
"Aldina heterophylla Benth."	"Brésil"	"0108V"	0.83	0.47	26
"Aldina heterophylla Benth."	"Brésil"	"0121V"	0.94	0.52	30
"Aleurites moluccana Willd."	"Nouvelle Calédonie"	"0564"	0.41	0.35	35
"Aleurites moluccana Willd."	"Nouvelle Calédonie"	"2774"	0.40	0.38	32
"Aleurites moluccana Willd."	"Nouvelle Calédonie"	"2778"	0.43	0.36	38
"Alexa grandiflora Ducke"	"Brésil Amazonie"	"2606"	0.93	0.48	31
"Alexa grandiflora Ducke"	"Brésil Amazonie"	"2674"	0.80	0.49	27
"Alexa grandiflora Ducke"	"Brésil"	"0006V"	0.74	0.52	32
"Alexa grandiflora Ducke"	"Brésil"	"0010V"	0.71	0.50	30
"Alexa grandiflora Ducke"	"Brésil"	"0048V"	0.68	0.54	31
"Alexa grandiflora Ducke"	"Brésil"	"0124V"	0.69	0.52	31
"Allanblackia floribunda Oliv."	"Côte d'Ivoire"	"0375"	0.67	0.40	
"Allanblackia floribunda Oliv."	"Côte d'Ivoire"	"1047"	0.67	0.19	
"Allanblackia stanereana Exell et Mendonca"	"Rép. Congo"	"0830"	0.67	0.41	28
"Alluaudia procera Drake"	"Madagascar"	"1346"	0.43	0.34	30
"Alluaudia procera Drake"	"Madagascar"	"1351"	0.44	0.70	20
"Alluaudia procera Drake"	"Madagascar"	"1353"	0.48	0.40	29
"Alluaudia procera Drake"	"Madagascar"	"1366"	0.42	0.53	19
"Alluaudia procera Drake"	"Madagascar"	"1373"	0.41	0.31	36
"Alphitonia neo-caledonica Guillaum."	"Nouvelle Calédonie"	"0581"	0.70	0.33	36
