Species	WSG	Continent	Estimated
Acacia arabica	0.70 *	Tropical Asia	1
Acacia catechu	0.88	Tropical Asia	0
Acacia confusa	0.75	Tropical Asia	0
Acacia leucophloea	0.76	Tropical Asia	0
Acacia richii	0.69	Tropical Asia	0
Adina cordifolia	0.58, 0.59 +	Tropical Asia	0
Aegle marmelo	0.75	Tropical Asia	0
Agathis dammara	0.41	Tropical Asia	0
Agathis spp.	0.44	Tropical Asia	0
Agathis vitiensis	0.45	Tropical Asia	0
Aglaia diffusa	0.7	Tropical Asia	0
Aglaia iloilo	0.53	Tropical Asia	0
Aglaia llanosiana	0.89	Tropical Asia	0
Alangium longiflorum	0.65	Tropical Asia	0
Alangium meyeri	0.63	Tropical Asia	0
Albizzia amara	0.70 *	Tropical Asia	1
Albizzia falcataria	0.25	Tropical Asia	0
Albizzia lebbek	0.55, 0.66 +	Tropical Asia	0
Albizzia odoratissima	0.76	Tropical Asia	0
Albizzia procera	0.52 *, 0.59 +	Tropical Asia	1
Aleurites moluccana	0.25	Tropical Asia	0
Aleurites trisperma	0.43	Tropical Asia	0
Alnus japonica	0.43	Tropical Asia	0
Alphitonia philippinensis	0.4	Tropical Asia	0
Alphitonia zizyphoides	0.5	Tropical Asia	0
Alphonsea arborea	0.69	Tropical Asia	0
Alseodaphne longipes	0.49	Tropical Asia	0
Alstonia macrophylla	0.62	Tropical Asia	0
Alstonia scholaris	0.36	Tropical Asia	0
Alstonia spp.	0.37	Tropical Asia	0
Amoora aherniana	0.58	Tropical Asia	0
Amoora macrocarpa	0.55	Tropical Asia	0
Amoora spp.	0.6	Tropical Asia	0
Anisophyllea zeylanica	0.46 *	Tropical Asia	1
Anisoptera aurea	0.53	Tropical Asia	0
Anisoptera spp.	0.54	Tropical Asia	0
Anisoptera thurifera	0.54	Tropical Asia	0
Anogeissus latifolia	0.78, 0.79 +	Tropical Asia	0
Anthocephalus chinensis	0.36, 0.33 +	Tropical Asia	0
Antidesma pleuricum	0.59	Tropical Asia	0
Aphanamixis cumingiana	0.58	Tropical Asia	0
Aphanamixis perrottetiana	0.52	Tropical Asia	0
Araucaria bidwillii	0.43	Tropical Asia	0
Artocarpus blancoi	0.43	Tropical Asia	0
Artocarpus heterophylla	0.6	Tropical Asia	0
Artocarpus lakoocha	0.53 *	Tropical Asia	1
Artocarpus ovata	0.47	Tropical Asia	0
Artocarpus spp.	0.58	Tropical Asia	0
Azadirachta indica	0.69	Tropical Asia	0
Azadirachta spp.	0.52	Tropical Asia	0
Balanocarpus spp.	0.76	Tropical Asia	0
Barringtonia edulis	0.48	Tropical Asia	0
Bauhinia spp.	0.67	Tropical Asia	0
Beilschmiedia tawa	0.58	Tropical Asia	0
Berrya cordifolia	0.78 *	Tropical Asia	1
Bischofia javanica	0.54, 0.58, 0.62 +	Tropical Asia	0
Bleasdalea vitiensis	0.43	Tropical Asia	0
Bombax ceiba	0.33	Tropical Asia	0
Bombycidendron vidalianum	0.53	Tropical Asia	0
Boswellia serrata	0.5	Tropical Asia	0
Bridelia retusa	0.5	Tropical Asia	0
Bridelia squamosa	0.5	Tropical Asia	0
Buchanania lanzan	0.45	Tropical Asia	0
Buchanania latifolia	0.45	Tropical Asia	0
Bursera serrata	0.59	Tropical Asia	0
Butea monosperma	0.48	Tropical Asia	0
Calophyllum blancoi	0.51	Tropical Asia	0
Calophyllum inophyllum	0.57	Tropical Asia	0
Calophyllum neo-ebudicum	0.5	Tropical Asia	0
Calophyllum obliquinervium	0.58	Tropical Asia	0
Calophyllum spp.	0.53	Tropical Asia	0
Calophyllum vitiense	0.5	Tropical Asia	0
Calycarpa arborea	0.53	Tropical Asia	0
Cananga odorata	0.29	Tropical Asia	0
Canarium asperum var. asperum	0.50, 0.60 +	Tropical Asia	0
Canarium hirsutum forma scabrum	0.4	Tropical Asia	0
Canarium luzonicum	0.51	Tropical Asia	0
Canarium spp.	0.44	Tropical Asia	0
Canarium vanikoroense	0.54	Tropical Asia	0
Canarium vitiense	0.54	Tropical Asia	0
Canarium vrieseanum forma stenophyllum	0.56	Tropical Asia	0
Canthium monstrosum	0.42	Tropical Asia	0
Carallia calycina	0.66 *	Tropical Asia	1
Cassia fistula	0.71	Tropical Asia	0
Cassia javanica	0.69	Tropical Asia	0
Cassia spectabilis	0.48	Tropical Asia	0
Castanopsis philippensis	0.51	Tropical Asia	0
Casuarina equisetifolia	0.83	Tropical Asia	0
Casuarina nodiflora	0.85	Tropical Asia	0
Cedrela odorata	0.38	Tropical Asia	0
Cedrela spp.	0.42	Tropical Asia	0
Cedrela toona	0.43	Tropical Asia	0
Ceiba pentandra	0.23	Tropical Asia	0
Celtis luzonica	0.49	Tropical Asia	0
Chisocheton cumingianus	0.52	Tropical Asia	0
Chisocheton pentandrus	0.52	Tropical Asia	0
Chloroxylon swietenia	0.76, 0.79, 0.80 +	Tropical Asia	0
Chukrassia tabularis	0.57	Tropical Asia	0
Cinnamomum mercadoi	0.65	Tropical Asia	0
Cinnamomum spp.	0.43	Tropical Asia	0
Citrus grandis	0.59	Tropical Asia	0
Cleidion speciflorum	0.5	Tropical Asia	0
Cleistanthus collinus	0.88	Tropical Asia	0
Cleistocalyx operculatus	0.66	Tropical Asia	0
Cleistocalyx spp.	0.76	Tropical Asia	0
Cochlospermum gossypium + religiosum	0.27	Tropical Asia	0
Cocos nucifera	0.5	Tropical Asia	0
Colona serratifolia	0.33	Tropical Asia	0
Combretodendron quadrialatum	0.57	Tropical Asia	0
Cordia spp.	0.53	Tropical Asia	0
Cotylelobium spp.	0.69	Tropical Asia	0
Crataeva religiosa	0.53 *	Tropical Asia	1
Cratoxylon arborescens	0.4	Tropical Asia	0
Cryptocarya spp.	0.59	Tropical Asia	0
Cubilia cubili	0.49	Tropical Asia	0
Cullenia excelsa	0.53	Tropical Asia	0
Cynometra insularis	0.76, 0.91 +	Tropical Asia	0
