submitted_name	matched_name2	score	implement
Abarema jupunba	Abarema jupunba	0.988	0
Abies alba	Abies alba	0.988	0
Acacia elata	Acacia elata	0.988	0
Acacia heterophylla	Acacia heterophylla	0.988	0
Acacia mangium	Acacia mangium	0.988	0
Acacia shirleyi	Acacia shirleyi	0.988	0
Afzelia africana	Afzelia africana	0.988	0
Afzelia bella	Afzelia bella	0.988	0
Afzelia bipindensis	Afzelia bipindensis	0.988	0
Afzelia pachyloba	Afzelia pachyloba	0.988	0
Agathis dammara	Agathis dammara	0.988	0
Agathis lanceolata	Agathis lanceolata	0.988	0
Agathis moorei	Agathis moorei	0.988	0
Agathis obtusa	Agathis obtusa	0.988	0
Albizia	Albizia	0.75	0
Albizia adianthifolia	Albizia adianthifolia	0.988	0
Albizia ferruginea	Albizia ferruginea	0.988	0
Albizia lebbeck	Albizia lebbeck	0.988	0
Albizia sassa	Albizia sassa	0.988	0
Albizia zygia	Albizia zygia	0.988	0
Aldina heterophylla	Aldina heterophylla	0.988	0
Aleurites moluccana	Aleurites moluccana	0.988	0
Alexa grandiflora	Alexa grandiflora	0.988	0
Allanblackia floribunda	Allanblackia floribunda	0.988	0
Allanblackia stanereana	Allanblackia stanerana	0.75	1
Allanblackia stanereana	Allanblackia staneriana	0.75	1
Alluaudia procera	Alluaudia procera	0.988	0
Alphitonia neo-caledonica	Alphitonia neocaledonica	0.75	1
Alstonia boonei	Alstonia boonei	0.988	0
Amanoa caribaea	Amanoa caribaea	0.988	0
Amburana cearensis	Amburana cearensis	0.988	0
Ampelocera edentula	Ampelocera edentula	0.988	0
Amphimas	Amphimas	0.75	0
Amphimas pterocarpoides	Amphimas pterocarpoides	0.988	0
Anacardium giganteum	Anacardium giganteum	0.988	0
Andira	Andira	0.75	0
Andira coriacea	Andira coriacea	0.988	0
Andira inermis	Andira inermis	0.988	0
Andira parviflora	Andira parviflora	0.988	0
Androstachys viticoides	Androstachys viticoides	0.988	0
Aniba amazonica	Aniba amazonica	0.988	0
Aniba burchellii	Aniba burchellii	0.988	0
Aniba canelilla	Aniba canelilla	0.988	0
Aniba melinonii	Aniba	0.75	1
Aniba parviflora	Aniba parviflora	0.988	0
Aningeria altissima	Aningeria altissima	0.988	0
Aningeria robusta	Aningeria robusta	0.988	0
Aningeria superba	Aningeria superba	0.988	0
Anisoptera costata	Anisoptera costata	0.988	0
Anisoptera laevis	Anisoptera laevis	0.988	0
Anisoptera thurifera	Anisoptera thurifera	0.988	0
Anonidium mannii	Anonidium mannii	0.988	0
Anopyxis klaineana	Anopyxis klaineana	0.988	0
Anthocarapa nitidula	Anthocarapa nitidula	0.988	0
Anthocleista	Anthocleista	0.75	0
Anthocleista nobilis	Anthocleista nobilis	0.988	0
Anthonotha fragrans	Anthonotha fragrans	0.988	0
Anthostema madagascariense	Anthostema madagascariense	0.988	0
Antiaris toxicaria	Antiaris toxicaria	0.988	0
Antonia ovata	Antonia ovata	0.988	0
Antrocaryon klaineanum	Antrocaryon klaineanum	0.988	0
Antrocaryon micraster	Antrocaryon micraster	0.988	0
Apeiba membranacea	Apeiba membranacea	0.988	0
Apodocephala pauciflora	Apodocephala pauciflora	0.988	0
Apodytes clusiifolia	Apodytes clusiifolia	0.988	0
Apuleia leiocarpa	Apuleia leiocarpa	0.988	0
Araucaria angustifolia	Araucaria angustifolia	0.988	0
Araucaria columnaris	Araucaria columnaris	0.988	0
Araucaria luxurians	Araucaria luxurians	0.988	0
Araucaria subulata	Araucaria subulata	0.988	0
Archidendropsis granulosa	Archidendropsis granulosa	0.988	0
Arillastrum gummiferum	Arillastrum gummiferum	0.988	0
Artocarpus altilis	Artocarpus altilis	0.988	0
Arytera collina	Arytera	0.75	1
Aspidosperma	Aspidosperma	0.75	0
Aspidosperma album	Aspidosperma album	0.988	0
Aspidosperma cylindrocarpum	Aspidosperma cylindrocarpum	0.988	0
Aspidosperma obscurinervium	Aspidosperma obscurinervium	0.988	0
Aspidosperma sandwithianum	Aspidosperma sandwithianum	0.988	0
Aspidostemon louvelii	Aspidostemon	0.75	1
Asteropeia	Asteropeia	0.75	0
Asteropeia rhopaloides	Asteropeia rhopaloides	0.988	0
