Taxon	Family	New.Genus	New.Species	New.Authority	New.ID	New.Taxonomic.status
Abarema jupunba	Leguminosae	Abarema	jupunba	(Willd.) Britton & Killip	ild-17547	Accepted
Abies alba	Pinaceae	Abies	alba	Mill.	kew-2609691	Accepted
Acacia elata	Leguminosae	Acacia	elata	Benth.	ild-404	Accepted
Acacia heterophylla	Leguminosae	Acacia	heterophylla	(Lam.) Willd.	ild-31792	Accepted
Acacia mangium	Leguminosae	Acacia	mangium	Willd.	ild-48913	Accepted
Acacia shirleyi	Leguminosae	Acacia	shirleyi	Maiden	ild-31539	Accepted
Afzelia africana	Leguminosae	Afzelia	africana	Pers.	ild-828	Accepted
Afzelia bella	Leguminosae	Afzelia	bella	Harms	ild-685	Accepted
Afzelia bipindensis	Leguminosae	Afzelia	bipindensis	Harms	ild-686	Accepted
Afzelia pachyloba	Leguminosae	Afzelia	pachyloba	Harms	ild-691	Accepted
Agathis dammara	Araucariaceae	Agathis	dammara	(Lamb.) Rich. & A.Rich.	kew-4514	Accepted
Agathis lanceolata	Araucariaceae	Agathis	lanceolata	Warb.	kew-4522	Accepted
Agathis moorei	Araucariaceae	Agathis	moorei	(Lindl.) Mast.	kew-4532	Accepted
Agathis obtusa	Araucariaceae	Agathis	macrophylla	(Lindl.) Mast.	kew-4526	Accepted
Albizia adianthifolia	Leguminosae	Albizia	adianthifolia	(Schum.) W.Wight	ild-262	Accepted
Albizia ferruginea	Leguminosae	Albizia	ferruginea	(Guill. & Perr.) Benth.	ild-287	Accepted
Albizia lebbeck	Leguminosae	Albizia	lebbeck	(L.) Benth.	ild-303	Accepted
Albizia sassa	Leguminosae	Albizia	gummifera	(J.F.Gmel.) C.A.Sm.	ild-296	Accepted
Albizia zygia	Leguminosae	Albizia	zygia	(DC.) J.F.Macbr.	ild-192	Accepted
Aldina heterophylla	Leguminosae	Aldina	heterophylla	Benth.	ild-19935	Accepted
Aleurites moluccana	Euphorbiaceae	Aleurites	moluccanus	(L.) Willd.	kew-5934	Accepted
Alexa grandiflora	Leguminosae	Alexa	grandiflora	Ducke	ild-15848	Accepted
Allanblackia floribunda	Clusiaceae	Allanblackia	floribunda	Oliv.	kew-2628579	Accepted
Allanblackia staneriana	Clusiaceae	Allanblackia	staneriana	Exell & Mendonça	kew-2628590	Accepted
Alluaudia procera	Didiereaceae	Alluaudia	procera	(Drake) Drake	kew-6238	Accepted
Alphitonia neocaledonica	Rhamnaceae	Alphitonia	neocaledonica	(Schltr.) Guillaumin	kew-2629992	Accepted
Alstonia boonei	Apocynaceae	Alstonia	boonei	De Wild.	kew-7007	Accepted
Amanoa caribaea	Phyllanthaceae	Amanoa	caribaea	Krug & Urb.	kew-7557	Accepted
Amburana cearensis	Leguminosae	Amburana	cearensis	(Allemao) A.C.Sm.	ild-28260	Accepted
Ampelocera edentula	Ulmaceae	Ampelocera	edentula	Kuhlm.	kew-2634287	Accepted
Amphimas pterocarpoides	Leguminosae	Amphimas	pterocarpoides	Harms	ild-6980	Accepted
Anacardium giganteum	Anacardiaceae	Anacardium	giganteum	Hancock ex Engl.	kew-2635899	Accepted
Andira coriacea	Leguminosae	Andira	coriacea	Pulle	ild-15869	Accepted
Andira inermis	Leguminosae	Andira	inermis	(Wright) DC.	ild-1783	Accepted
Andira parviflora	Leguminosae	Andira	parviflora	Ducke	ild-15883	Accepted
Androstachys viticoides		Androstachys	viticoides			
Aniba amazonica	Lauraceae	Aniba	puchury-minor	(Mart.) Mez	kew-2639736	Accepted
Aniba burchellii	Lauraceae	Aniba	burchellii	Kosterm.	kew-2639674	Accepted
Aniba canelilla		Aniba	canelilla			
Aniba melinonii	Lauraceae	Aniba	melinonii	Lemée	kew-2639718	Unresolved
Aniba parviflora	Lauraceae	Aniba	parviflora	(Meisn.) Mez	kew-2639727	Accepted
Aningeria altissima	Sapotaceae	Pouteria	altissima	(A.Chev.) Baehni	kew-163903	Accepted
Aningeria robusta	Sapotaceae	Pouteria	pierrei	(A.Chev.) Baehni	kew-164349	Accepted
Aningeria superba	Sapotaceae	Pouteria	superba	(Vermoesen) L.Gaut.	kew-164482	Accepted
